sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac
33a282d4-454,2,16,0,2,1,assistant,asst_greeting,0.014713144136799706,0.13241829723119736,9,95,0.13239732728496983
33a282d4-454,2,16,1,1,0,user,user_msg,0.0050722735935899745,0.2536136796794987,50,95,0.2535735170634808
33a282d4-454,2,16,2,0,0,assistant,asst_gen,0.01705906693236843,0.6141264095652635,36,95,0.6140291556505497
33a282d4-454,4,16,0,4,2,assistant,asst_greeting,0.010987706948071718,0.09888936253264546,9,146,0.09889490756704844
33a282d4-454,4,16,1,3,1,user,user_msg,0.004092873378346363,0.20464366891731817,50,146,0.2046551439248967
33a282d4-454,4,16,2,2,1,assistant,asst_gen,0.008559253669806855,0.30813313211304677,36,146,0.30815041009699273
33a282d4-454,4,16,3,1,0,user,user_msg,0.001583838567004183,0.02692525563907111,17,146,0.026926765421973982
33a282d4-454,4,16,4,0,0,assistant,asst_gen,0.010628015024350115,0.3613525108279039,34,146,0.36137277298808806
33a282d4-454,6,16,0,6,3,assistant,asst_greeting,0.00821811851993617,0.07396306667942554,9,234,0.0739620888087649
33a282d4-454,6,16,1,5,2,user,user_msg,0.0021801915283625323,0.10900957641812661,50,234,0.10900813519521235
33a282d4-454,6,16,2,4,2,assistant,asst_gen,0.0064732863724943695,0.2330383094097973,36,234,0.23303522839469332
33a282d4-454,6,16,3,3,1,user,user_msg,0.0021872096335487988,0.03718256377032958,17,234,0.03718207217716247
33a282d4-454,6,16,4,2,1,assistant,asst_gen,0.003694419307352041,0.1256102564499694,34,234,0.12560859574835206
33a282d4-454,6,16,5,1,0,user,user_msg,0.0021828037709911083,0.058935701816759924,27,234,0.05893492262389708
33a282d4-454,6,16,6,0,0,assistant,asst_gen,0.005938913880268816,0.3622737466963978,61,234,0.3622689570509177
33a282d4-454,8,16,0,8,4,assistant,asst_greeting,0.008807814498949382,0.07927033049054444,9,281,0.07926904451383658
33a282d4-454,8,16,1,7,3,user,user_msg,0.0019321221791081674,0.09660610895540837,50,281,0.09660454174602266
33a282d4-454,8,16,2,6,3,assistant,asst_gen,0.004796320902069392,0.1726675524744981,36,281,0.1726647513451309
33a282d4-454,8,16,3,5,2,user,user_msg,0.0013855464356168467,0.023554289405486394,17,281,0.023553907291934476
33a282d4-454,8,16,4,4,2,assistant,asst_gen,0.0030413266890540326,0.10340510742783711,34,281,0.1034034299205175
33a282d4-454,8,16,5,3,1,user,user_msg,0.0015224178162576592,0.0411052810389568,27,281,0.041104614201394
33a282d4-454,8,16,6,2,1,assistant,asst_gen,0.0020277935824554736,0.12369540852978388,61,281,0.12369340185952965
33a282d4-454,8,16,7,1,0,user,user_msg,0.0013592728559160606,0.013592728559160605,10,281,0.013592508048760117
33a282d4-454,8,16,8,0,0,assistant,asst_gen,0.009354578812276528,0.3461194160542315,37,281,0.34611380107187395
33a282d4-454,10,16,0,10,5,assistant,asst_greeting,0.008655777425263767,0.0779019968273739,9,527,0.07789100331282336
33a282d4-454,10,16,1,9,4,user,user_msg,0.0022309569543964847,0.11154784771982423,50,527,0.11153210610937865
33a282d4-454,10,16,2,8,4,assistant,asst_gen,0.0050360765399764884,0.18129875543915358,36,527,0.1812731705942576
33a282d4-454,10,16,3,7,3,user,user_msg,0.0006924644561984357,0.011771895755373407,17,527,0.011770234507747612
33a282d4-454,10,16,4,6,3,assistant,asst_gen,0.0027599038903645123,0.09383673227239342,34,527,0.09382349005109454
33a282d4-454,10,16,5,5,2,user,user_msg,0.0011403505731671171,0.030789465475512163,27,527,0.0307851204721683
33a282d4-454,10,16,6,4,2,assistant,asst_gen,0.001415301560142136,0.0863333951686703,61,527,0.08632121181683546
33a282d4-454,10,16,7,3,1,user,user_msg,0.0005337935812349315,0.005337935812349315,10,527,0.005337182523891857
33a282d4-454,10,16,8,2,1,assistant,asst_gen,0.001789529567050268,0.06621259398085992,37,527,0.06620325007255201
33a282d4-454,10,16,9,1,0,user,user_msg,0.000963763933387305,0.01349269506742227,14,527,0.013490790980934237
33a282d4-454,10,16,10,0,0,assistant,asst_gen,0.001386283733629416,0.3216178262020245,232,527,0.32157243955731624
33a282d4-454,12,16,0,12,6,assistant,asst_greeting,0.010799144506799401,0.09719230056119461,9,834,0.0971954047010918
33a282d4-454,12,16,1,11,5,user,user_msg,0.0015717739395040553,0.07858869697520277,50,834,0.07859120695087306
33a282d4-454,12,16,2,10,5,assistant,asst_gen,0.0032576510602834955,0.11727543817020583,36,834,0.11727918372787327
33a282d4-454,12,16,3,9,4,user,user_msg,0.0004363948490422712,0.0074187124337186106,17,834,0.00741894937348769
33a282d4-454,12,16,4,8,4,assistant,asst_gen,0.0013149343690826093,0.044707768548808716,34,834,0.04470919643113339
33a282d4-454,12,16,5,7,3,user,user_msg,0.0004462420542893843,0.012048535465813377,27,834,0.012048920273451698
33a282d4-454,12,16,6,6,3,assistant,asst_gen,0.0007099356250036495,0.04330607312522262,61,834,0.043307456240022885
33a282d4-454,12,16,7,5,2,user,user_msg,0.00041091587725835177,0.004109158772583518,10,834,0.004109290011412275
33a282d4-454,12,16,8,4,2,assistant,asst_gen,0.0010005280901716539,0.037019539336351194,37,834,0.03702072167104608
33a282d4-454,12,16,9,3,1,user,user_msg,0.0005921248900471081,0.008289748460659514,14,834,0.008290013219686573
33a282d4-454,12,16,10,2,1,assistant,asst_gen,0.00046673553903861997,0.10828264505695984,232,834,0.10828610340167184
33a282d4-454,12,16,11,1,0,user,user_msg,0.000835207554910229,0.03507871730622962,42,834,0.03507983765470685
33a282d4-454,12,16,12,0,0,assistant,asst_gen,0.001534531051624595,0.40665072868051766,265,834,0.4066637163425426
33a282d4-454,14,16,0,14,7,assistant,asst_greeting,0.008817965647688619,0.07936169082919757,9,1117,0.07937930054941593
33a282d4-454,14,16,1,13,6,user,user_msg,0.0016421224089572207,0.08210612044786103,50,1117,0.08212433913491514
33a282d4-454,14,16,2,12,6,assistant,asst_gen,0.002894780188322936,0.10421208677962569,36,1117,0.10423521060262375
33a282d4-454,14,16,3,11,5,user,user_msg,0.00035008876918308325,0.005951509076112416,17,1117,0.00595282966805813
33a282d4-454,14,16,4,10,5,assistant,asst_gen,0.0010445351409659864,0.03551419479284353,34,1117,0.03552207510672732
33a282d4-454,14,16,5,9,4,user,user_msg,0.00033871261622366147,0.00914524063803886,27,1117,0.009147269893303998
33a282d4-454,14,16,6,8,4,assistant,asst_gen,0.0005957301880911735,0.03633954147356159,61,1117,0.036347604925228594
33a282d4-454,14,16,7,7,3,user,user_msg,0.00028959209386509124,0.0028959209386509124,10,1117,0.002896563520190838
33a282d4-454,14,16,8,6,3,assistant,asst_gen,0.0007300710945225427,0.02701263049733408,37,1117,0.02701862438255061
33a282d4-454,14,16,9,5,2,user,user_msg,0.00042067213225241825,0.0058894098515338555,14,1117,0.005890716664161626
33a282d4-454,14,16,10,4,2,assistant,asst_gen,0.00030360889255480396,0.07043726307271451,232,1117,0.07045289253426829
33a282d4-454,14,16,11,3,1,user,user_msg,0.00036564152177171697,0.015356943914412113,42,1117,0.015360351496621063
33a282d4-454,14,16,12,2,1,assistant,asst_gen,0.00041159510952867753,0.10907270402509954,265,1117,0.10909690637992935
33a282d4-454,14,16,13,1,0,user,user_msg,0.0006452794705779286,0.039362047705253644,61,1117,0.0393707818267179
33a282d4-454,14,16,14,0,0,assistant,asst_gen,0.0016987425821320913,0.3771208532333243,222,1117,0.37720453331428727
f6855952-de0,2,14,0,2,1,assistant,asst_greeting,0.01451886231424632,0.13066976082821688,9,71,0.1307036371325221
f6855952-de0,2,14,1,1,0,user,user_msg,0.007883376336277222,0.24438466642459392,31,71,0.2444480234650817
f6855952-de0,2,14,2,0,0,assistant,asst_gen,0.02015117382735855,0.6246863886481151,31,71,0.624848339401396
f6855952-de0,4,14,0,4,2,assistant,asst_greeting,0.010574444585169354,0.0951700012665242,9,166,0.09516478543228224
f6855952-de0,4,14,1,3,1,user,user_msg,0.004885603410413397,0.15145370572281533,31,166,0.151445405235121
f6855952-de0,4,14,2,2,1,assistant,asst_gen,0.00950487088149173,0.29465099732624367,31,166,0.2946348488473025
f6855952-de0,4,14,3,1,0,user,user_msg,0.0012935526760616887,0.02199039549304871,17,166,0.021989190299644478
f6855952-de0,4,14,4,0,0,assistant,asst_gen,0.005599868059472746,0.4367897086388742,78,166,0.43676577018464974
f6855952-de0,6,14,0,6,3,assistant,asst_greeting,0.008662633761694585,0.07796370385525127,9,253,0.07796783046960418
f6855952-de0,6,14,1,5,2,user,user_msg,0.0032098205672966324,0.09950443758619561,31,253,0.09950970435034374
f6855952-de0,6,14,2,4,2,assistant,asst_gen,0.006247788126695738,0.19368143192756787,31,253,0.19369168347460017
f6855952-de0,6,14,3,3,1,user,user_msg,0.0006736469955178429,0.01145199892380333,17,253,0.01145260507744652
f6855952-de0,6,14,4,2,1,assistant,asst_gen,0.0021073370305910227,0.16437228838609977,78,253,0.16438098860185316
f6855952-de0,6,14,5,1,0,user,user_msg,0.0007094782070596825,0.013480085934133967,19,253,0.013480799434305758
f6855952-de0,6,14,6,0,0,assistant,asst_gen,0.0064631342094852535,0.43949312624499726,68,253,0.43951638859084646
f6855952-de0,8,14,0,8,4,assistant,asst_greeting,0.010334974297115372,0.09301476867403835,9,529,0.09300807732483163
f6855952-de0,8,14,1,7,3,user,user_msg,0.002766418718159892,0.08575898026295665,31,529,0.08575281088477368
f6855952-de0,8,14,2,6,3,assistant,asst_gen,0.0054557747831710515,0.1691290182783026,31,529,0.16911685137901958
f6855952-de0,8,14,3,5,2,user,user_msg,0.0005719279391033685,0.009722774964757264,17,529,0.009722075522255014
f6855952-de0,8,14,4,4,2,assistant,asst_gen,0.0014788484903851312,0.11535018225004023,78,529,0.11534188412317825
f6855952-de0,8,14,5,3,1,user,user_msg,0.0004991459550582109,0.009483773146106007,19,529,0.0094830908970522
f6855952-de0,8,14,6,2,1,assistant,asst_gen,0.0014726130892188615,0.10013769006688258,68,529,0.10013048630491506
f6855952-de0,8,14,7,1,0,user,user_msg,0.0017600790705627229,0.021120948846752675,12,529,0.021119429435950222
f6855952-de0,8,14,8,0,0,assistant,asst_gen,0.0015013401789852542,0.3963538072521071,264,529,0.39632529412702444
f6855952-de0,10,14,0,10,5,assistant,asst_greeting,0.00976188497238413,0.08785696475145717,9,887,0.08786078640883527
f6855952-de0,10,14,1,9,4,user,user_msg,0.002135006143949032,0.06618519046242,31,887,0.06618806942736224
f6855952-de0,10,14,2,8,4,assistant,asst_gen,0.003787048514148469,0.11739850393860253,31,887,0.11740361061238785
f6855952-de0,10,14,3,7,3,user,user_msg,0.0003569665156343641,0.00606843076578419,17,887,0.006068694734193241
f6855952-de0,10,14,4,6,3,assistant,asst_gen,0.0009812367872624064,0.0765364694064677,78,887,0.0765397986378363
f6855952-de0,10,14,5,5,2,user,user_msg,0.0003244416774210996,0.006164391871000892,19,887,0.006164660013586308
f6855952-de0,10,14,6,4,2,assistant,asst_gen,0.0008210955294561798,0.05583449600302023,68,887,0.05583692472696039
f6855952-de0,10,14,7,3,1,user,user_msg,0.0008464295114612872,0.010157154137535446,12,887,0.010157595959799167
f6855952-de0,10,14,8,2,1,assistant,asst_gen,0.0004950668706908317,0.13069765386237955,264,887,0.13070333903093273
f6855952-de0,10,14,9,1,0,user,user_msg,0.00035682359063805613,0.03318459392933922,93,887,0.03318603741362744
f6855952-de0,10,14,10,0,0,assistant,asst_gen,0.0015466892608890462,0.40987265413559726,265,887,0.409890483033479
f6855952-de0,12,14,0,12,6,assistant,asst_greeting,0.00791144096809957,0.07120296871289612,9,1223,0.07119917056390791
f6855952-de0,12,14,1,11,5,user,user_msg,0.0021972872216069208,0.06811590386981455,31,1223,0.06811227039278346
f6855952-de0,12,14,2,10,5,assistant,asst_gen,0.0029990669055780838,0.0929710740729206,31,1223,0.09296611475735686
f6855952-de0,12,14,3,9,4,user,user_msg,0.00034016793324553873,0.0057828548651741585,17,1223,0.00578254639286251
f6855952-de0,12,14,4,8,4,assistant,asst_gen,0.0006939327877733524,0.054126757446321484,78,1223,0.05412387018624307
f6855952-de0,12,14,5,7,3,user,user_msg,0.00025040113897782586,0.004757621640578691,19,1223,0.004757367856836986
f6855952-de0,12,14,6,6,3,assistant,asst_gen,0.0005777029852995338,0.0392838030003683,68,1223,0.039281707501552514
f6855952-de0,12,14,7,5,2,user,user_msg,0.0006681925514789732,0.008018310617747678,12,1223,0.008017882900492199
f6855952-de0,12,14,8,4,2,assistant,asst_gen,0.00033162532994963597,0.0875490871067039,264,1223,0.08754441701383243
f6855952-de0,12,14,9,3,1,user,user_msg,0.00022918292325391698,0.02131401186261428,93,1223,0.021312874918550655
f6855952-de0,12,14,10,2,1,assistant,asst_gen,0.00046270535752485753,0.12261691974408724,265,1223,0.1226103790430732
f6855952-de0,12,14,11,1,0,user,user_msg,0.00028294762477506445,0.020089281359029577,71,1223,0.020088209745232472
f6855952-de0,12,14,12,0,0,assistant,asst_gen,0.0015253764192880931,0.4042247511113447,265,1223,0.40420318872627575
ea871dd1-e45,4,24,0,4,2,assistant,asst_greeting,0.008711621768910575,0.07840459592019518,9,136,0.07840574141044128
ea871dd1-e45,4,24,1,3,1,user,user_msg,0.0060964970771151235,0.21337739769902933,35,136,0.21338051514035955
ea871dd1-e45,4,24,2,2,1,assistant,asst_gen,0.009099417759136136,0.3002807860514925,33,136,0.30028517315032865
ea871dd1-e45,4,24,3,1,0,user,user_msg,0.0013972900161644687,0.025151220290960435,18,136,0.025151587750000082
ea871dd1-e45,4,24,4,0,0,assistant,asst_gen,0.009335887567372046,0.38277139026225393,41,136,0.3827769825478704
ea871dd1-e45,6,24,0,6,3,assistant,asst_greeting,0.006917442108883902,0.06225697897995512,9,201,0.06226021628467733
ea871dd1-e45,6,24,1,5,2,user,user_msg,0.004960641875264368,0.17362246563425288,35,201,0.17363149384020005
