sim_id,context_turn,total_msgs,msg_idx,msg_dist,asst_turns_dist,role,fine_role,attn_mean,attn_sum,token_count,seq_len,attn_frac,src_file
308782ac-c4d,2,12,0,2,1,assistant,asst_greeting,0.018790585616241313,0.16911527054617181,9,98,0.16910389569212084,stress_baseline_1x10_task10_1st
308782ac-c4d,2,12,1,1,0,user,user_msg,0.00596532909956295,0.2982664549781475,50,98,0.29824639329251307,stress_baseline_1x10_task10_1st
308782ac-c4d,2,12,2,0,0,assistant,asst_gen,0.013658603588481082,0.5326855399507622,39,98,0.5326497110143661,stress_baseline_1x10_task10_1st
308782ac-c4d,4,12,0,4,2,assistant,asst_greeting,0.011809882302057102,0.10628894071851391,9,150,0.10628885005910993,stress_baseline_1x10_task10_1st
308782ac-c4d,4,12,1,3,1,user,user_msg,0.004730409779385809,0.23652048896929045,50,150,0.23652028722857862,stress_baseline_1x10_task10_1st
308782ac-c4d,4,12,2,2,1,assistant,asst_gen,0.005612603576893003,0.21889153949882711,39,150,0.21889135279476954,stress_baseline_1x10_task10_1st
308782ac-c4d,4,12,3,1,0,user,user_msg,0.003018166349005803,0.051308827933098655,17,150,0.05130878416911223,stress_baseline_1x10_task10_1st
308782ac-c4d,4,12,4,0,0,assistant,asst_gen,0.011056887309496232,0.38699105583236815,35,150,0.3869907257474296,stress_baseline_1x10_task10_1st
308782ac-c4d,6,12,0,6,3,assistant,asst_greeting,0.010026077316271968,0.09023469584644772,9,212,0.09022936231967969,stress_baseline_1x10_task10_1st
308782ac-c4d,6,12,1,5,2,user,user_msg,0.002561990824142413,0.12809954120712064,50,212,0.12809196959261482,stress_baseline_1x10_task10_1st
308782ac-c4d,6,12,2,4,2,assistant,asst_gen,0.0032685639537073886,0.12747399419458816,39,212,0.12746645955446015,stress_baseline_1x10_task10_1st
308782ac-c4d,6,12,3,3,1,user,user_msg,0.0012646733384291805,0.02149944675329607,17,212,0.021498175979635444,stress_baseline_1x10_task10_1st
308782ac-c4d,6,12,4,2,1,assistant,asst_gen,0.003357631810441879,0.11751711336546578,35,212,0.11751016724940747,stress_baseline_1x10_task10_1st
308782ac-c4d,6,12,5,1,0,user,user_msg,0.0015845588171335596,0.019014705805602716,12,212,0.019013581898202698,stress_baseline_1x10_task10_1st
308782ac-c4d,6,12,6,0,0,assistant,asst_tool_call,0.009924392271859688,0.4962196135929844,50,212,0.4961902834049997,stress_baseline_1x10_task10_1st
308782ac-c4d,8,12,0,8,4,assistant,asst_greeting,0.012457754766930722,0.1121197929023765,9,382,0.11211876532593536,stress_baseline_1x10_task10_1st
308782ac-c4d,8,12,1,7,3,user,user_msg,0.0023980368040065515,0.11990184020032757,50,382,0.11990074130152432,stress_baseline_1x10_task10_1st
