dataset,ep1,ep2,ep4,ep8,ep12,ep16
Length128000Depth0_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth0_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth100_origin_en_128k,100.00,100.00,100.00,100.00,100.00,100.00
Length128000Depth100_origin_zh_128k,100.00,100.00,100.00,100.00,100.00,100.00
Length128000Depth10_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth10_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth20_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth20_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth30_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth30_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth40_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth40_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth50_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth50_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth60_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth60_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth70_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth70_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth80_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth80_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth90_origin_en_128k,0.00,0.00,0.00,0.00,0.00,0.00
Length128000Depth90_origin_zh_128k,0.00,0.00,0.00,0.00,0.00,0.00
