score_mode,fine_role,assistant_turn_distance,samples,kept_fraction_mean,heavy_kept_fraction_mean,score_sum_mean,reactivated_messages,reactivated_as_heavy_messages
role_decay,asst_gen,0,1,0.6976744186046512,0.15217391304347827,37.409996032714844,0,0
role_decay,asst_gen,1,1,1.0,1.0,5.9553117752075195,0,0
role_decay,asst_gen,2,2,0.0,0.0,3.693827986717224,0,0
role_decay,asst_gen,3,1,0.0,0.0,2.284430742263794,0,0
role_decay,asst_greeting,3,1,1.0,1.0,11.591263771057129,0,0
role_decay,asst_greeting,4,1,1.0,1.0,11.099830627441406,0,0
role_decay,asst_tool_call,0,1,1.0,0.0,72.5,0,0
role_decay,asst_tool_call,1,1,1.0,1.0,30.482498168945312,0,1
role_decay,user_msg,0,2,1.0,0.0,6.319999694824219,0,0
role_decay,user_msg,1,2,0.5,0.0,3.7982478737831116,0,0
role_decay,user_msg,2,2,0.5,0.5,1.8617565035820007,0,0
role_decay,user_msg,3,2,0.23958333333333334,0.23958333333333334,3.7381412982940674,0,0
role_decay,user_msg,4,1,0.0,0.0,4.945736408233643,0,0
zero,asst_gen,0,1,1.0,1.0,0.0,0,0
zero,asst_gen,1,1,1.0,1.0,0.0,0,0
zero,asst_gen,2,2,0.38461538461538464,0.38461538461538464,0.0,0,0
zero,asst_gen,3,1,0.0,0.0,0.0,0,0
zero,asst_greeting,3,1,0.36363636363636365,0.0,0.0,0,0
zero,asst_greeting,4,1,0.36363636363636365,0.0,0.0,0,0
zero,asst_tool_call,0,1,1.0,0.0,0.0,0,0
zero,asst_tool_call,1,1,0.0,0.0,0.0,0,0
zero,user_msg,0,2,1.0,0.0,0.0,0,0
zero,user_msg,1,2,0.7195121951219512,0.21951219512195122,0.0,0,1
zero,user_msg,2,2,0.5,0.5,0.0,0,0
zero,user_msg,3,2,0.0,0.0,0.0,0,0
zero,user_msg,4,1,0.0,0.0,0.0,0,0
