score_mode,target_assistant_turn,source_assistant_turn,samples,token_count_sum,candidate_tokens_sum,kept_tokens_sum,heavy_kept_tokens_sum,weighted_kept_fraction,weighted_heavy_kept_fraction,reactivated_as_heavy_rate
role_decay,5,1,2.0,59.0,55.0,34.0,30.0,0.576271186440678,0.5454545454545454,0.0
role_decay,5,2,2.0,56.0,56.0,17.0,17.0,0.30357142857142855,0.30357142857142855,0.0
role_decay,5,3,2.0,47.0,17.0,47.0,17.0,1.0,1.0,0.0
role_decay,6,1,2.0,59.0,55.0,11.0,7.0,0.1864406779661017,0.12727272727272726,0.0
role_decay,6,2,2.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,3,2.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,4,2.0,91.0,91.0,50.0,50.0,0.5494505494505495,0.5494505494505495,0.5
zero,5,1,2.0,59.0,55.0,4.0,0.0,0.06779661016949153,0.0,0.0
zero,5,2,2.0,56.0,56.0,47.0,47.0,0.8392857142857143,0.8392857142857143,0.0
zero,5,3,2.0,47.0,17.0,47.0,17.0,1.0,1.0,0.0
zero,6,1,2.0,59.0,55.0,4.0,0.0,0.06779661016949153,0.0,0.0
zero,6,2,2.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0
zero,6,3,2.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0
zero,6,4,2.0,91.0,91.0,18.0,18.0,0.1978021978021978,0.1978021978021978,0.5
