score_mode,target_assistant_turn,source_assistant_turn,fine_role,samples,token_count_sum,candidate_tokens_sum,kept_tokens_sum,heavy_kept_tokens_sum,weighted_kept_fraction,weighted_heavy_kept_fraction,reactivated_as_heavy_rate
role_decay,3,1,asst_greeting,40.0,440.0,118.0,440.0,118.0,1.0,1.0,0.45
role_decay,3,1,user_msg,40.0,2020.0,311.0,2020.0,311.0,1.0,1.0,0.4
role_decay,4,1,asst_greeting,40.0,440.0,280.0,440.0,280.0,1.0,1.0,0.55
role_decay,4,1,user_msg,40.0,2020.0,1813.0,1432.0,1225.0,0.7089108910891089,0.6756756756756757,0.6
role_decay,4,2,asst_gen,40.0,1678.0,574.0,1644.0,540.0,0.9797377830750894,0.9407665505226481,0.525
role_decay,4,2,user_msg,40.0,760.0,5.0,760.0,5.0,1.0,1.0,0.025
role_decay,5,1,asst_greeting,38.0,418.0,266.0,418.0,266.0,1.0,1.0,0.0
role_decay,5,1,user_msg,38.0,1902.0,1902.0,747.0,747.0,0.39274447949526814,0.39274447949526814,0.02631578947368421
role_decay,5,2,asst_gen,38.0,1576.0,1567.0,45.0,36.0,0.028553299492385786,0.02297383535417996,0.07894736842105263
role_decay,5,2,user_msg,38.0,724.0,659.0,455.0,390.0,0.6284530386740331,0.5918057663125948,0.7631578947368421
role_decay,5,3,asst_gen,34.0,1644.0,925.0,1269.0,550.0,0.7718978102189781,0.5945945945945946,0.6764705882352942
role_decay,5,3,asst_tool_call,4.0,216.0,35.0,216.0,35.0,1.0,1.0,1.0
role_decay,5,3,user_msg,38.0,750.0,148.0,614.0,12.0,0.8186666666666667,0.08108108108108109,0.02631578947368421
role_decay,6,1,asst_greeting,38.0,418.0,266.0,411.0,259.0,0.9832535885167464,0.9736842105263158,0.0
role_decay,6,1,user_msg,38.0,1902.0,1902.0,38.0,38.0,0.019978969505783387,0.019978969505783387,0.0
role_decay,6,2,asst_gen,38.0,1576.0,1576.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,2,user_msg,38.0,724.0,724.0,85.0,85.0,0.11740331491712708,0.11740331491712708,0.0
role_decay,6,3,asst_gen,34.0,1644.0,1644.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,3,asst_tool_call,4.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,3,user_msg,38.0,750.0,750.0,196.0,196.0,0.2613333333333333,0.2613333333333333,0.21052631578947367
role_decay,6,4,asst_gen,20.0,2282.0,2000.0,621.0,339.0,0.2721297107800175,0.1695,0.5
role_decay,6,4,asst_tool_call,18.0,924.0,877.0,878.0,831.0,0.9502164502164502,0.9475484606613455,0.9444444444444444
role_decay,6,4,user_msg,38.0,1057.0,871.0,193.0,7.0,0.1825922421948912,0.008036739380022962,0.02631578947368421
role_decay,7,1,asst_greeting,31.0,341.0,217.0,341.0,217.0,1.0,1.0,0.03225806451612903
role_decay,7,1,user_msg,31.0,1619.0,1619.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,2,asst_gen,31.0,1322.0,1322.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,2,user_msg,31.0,608.0,608.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,3,asst_gen,27.0,1319.0,1319.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,3,asst_tool_call,4.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,3,user_msg,31.0,649.0,649.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,4,asst_gen,20.0,2282.0,2282.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,4,asst_tool_call,11.0,535.0,535.0,39.0,39.0,0.07289719626168224,0.07289719626168224,0.0
role_decay,7,4,user_msg,31.0,899.0,899.0,48.0,48.0,0.05339265850945495,0.05339265850945495,0.06451612903225806
role_decay,7,5,asst_gen,26.0,3879.0,3820.0,484.0,425.0,0.12477442639855633,0.11125654450261781,0.11538461538461539
role_decay,7,5,asst_tool_call,5.0,429.0,394.0,222.0,187.0,0.5174825174825175,0.4746192893401015,0.6
role_decay,7,5,user_msg,31.0,1358.0,1204.0,154.0,0.0,0.1134020618556701,0.0,0.0
role_decay,8,1,asst_greeting,17.0,187.0,119.0,187.0,119.0,1.0,1.0,0.0
role_decay,8,1,user_msg,17.0,1004.0,1004.0,0.0,0.0,0.0,0.0,0.0
role_decay,8,2,asst_gen,17.0,776.0,776.0,0.0,0.0,0.0,0.0,0.0
role_decay,8,2,user_msg,17.0,346.0,346.0,0.0,0.0,0.0,0.0,0.0
role_decay,8,3,asst_gen,15.0,708.0,708.0,0.0,0.0,0.0,0.0,0.0
role_decay,8,3,asst_tool_call,2.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0
role_decay,8,3,user_msg,17.0,382.0,382.0,0.0,0.0,0.0,0.0,0.0
role_decay,8,4,asst_gen,12.0,1067.0,1067.0,0.0,0.0,0.0,0.0,0.0
role_decay,8,4,asst_tool_call,5.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0
