score_mode,target_assistant_turn,source_assistant_turn,samples,token_count_sum,candidate_tokens_sum,kept_tokens_sum,heavy_kept_tokens_sum,weighted_kept_fraction,weighted_heavy_kept_fraction,reactivated_as_heavy_rate
role_decay,3,1,80.0,2460.0,429.0,2460.0,429.0,1.0,1.0,0.425
role_decay,4,1,80.0,2460.0,2093.0,1872.0,1505.0,0.7609756097560976,0.7190635451505016,0.575
role_decay,4,2,80.0,2438.0,579.0,2404.0,545.0,0.9860541427399507,0.9412780656303973,0.275
role_decay,5,1,76.0,2320.0,2168.0,1165.0,1013.0,0.5021551724137931,0.4672509225092251,0.013157894736842105
role_decay,5,2,76.0,2300.0,2226.0,500.0,426.0,0.21739130434782608,0.19137466307277629,0.42105263157894735
role_decay,5,3,76.0,2610.0,1108.0,2099.0,597.0,0.8042145593869732,0.5388086642599278,0.3684210526315789
role_decay,6,1,76.0,2320.0,2168.0,449.0,297.0,0.1935344827586207,0.13699261992619927,0.0
role_decay,6,2,76.0,2300.0,2300.0,85.0,85.0,0.03695652173913044,0.03695652173913044,0.0
role_decay,6,3,76.0,2610.0,2610.0,196.0,196.0,0.07509578544061303,0.07509578544061303,0.10526315789473684
role_decay,6,4,76.0,4263.0,3748.0,1692.0,1177.0,0.3969035890218156,0.314034151547492,0.3684210526315789
role_decay,7,1,62.0,1960.0,1836.0,341.0,217.0,0.1739795918367347,0.11819172113289761,0.016129032258064516
role_decay,7,2,62.0,1930.0,1930.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,3,62.0,2184.0,2184.0,0.0,0.0,0.0,0.0,0.0
role_decay,7,4,62.0,3716.0,3716.0,87.0,87.0,0.02341227125941873,0.02341227125941873,0.03225806451612903
role_decay,7,5,62.0,5666.0,5418.0,860.0,612.0,0.15178256265442994,0.11295681063122924,0.0967741935483871
role_decay,8,1,34.0,1191.0,1123.0,187.0,119.0,0.1570109151973132,0.10596616206589493,0.0
role_decay,8,2,34.0,1122.0,1122.0,0.0,0.0,0.0,0.0,0.0
