method,sink,window,heavy,total_budget,runs,success_rate_mean,success_rate_std,timeout_rate_mean,timeout_rate_std,user_stop_rate_mean,avg_duration_s_mean,avg_turns_mean,num_tasks
h2o,4.0,32.0,32.0,68.0,1,0.2,0.0,0.26666666666666666,0.0,0.7333333333333333,464.16407918469434,36.7,30
h2o,4.0,64.0,32.0,100.0,1,0.23333333333333334,0.0,0.13333333333333333,0.0,0.8666666666666667,448.66626025895044,38.6,30
h2o,4.0,64.0,64.0,132.0,1,0.3,0.0,0.13333333333333333,0.0,0.8666666666666667,368.26979888232114,35.833333333333336,30
h2o,4.0,128.0,32.0,164.0,1,0.23333333333333334,0.0,0.1,0.0,0.9,333.0214665580677,27.7,30
h2o,4.0,128.0,64.0,196.0,1,0.26666666666666666,0.0,0.13333333333333333,0.0,0.8666666666666667,342.36035647036624,29.8,30
h2o,4.0,128.0,128.0,260.0,1,0.3,0.0,0.03333333333333333,0.0,0.9666666666666667,281.9382428968364,25.033333333333335,30
h2o,4.0,256.0,32.0,292.0,1,0.3333333333333333,0.0,0.0,0.0,1.0,266.05621323759743,22.2,30
h2o,4.0,256.0,64.0,324.0,1,0.3333333333333333,0.0,0.0,0.0,1.0,236.12821196613368,21.733333333333334,30
h2o,4.0,256.0,128.0,388.0,1,0.3333333333333333,0.0,0.0,0.0,1.0,233.37757111225898,20.066666666666666,30
h2o,4.0,256.0,256.0,516.0,1,0.3333333333333333,0.0,0.03333333333333333,0.0,0.9666666666666667,240.04612967283464,23.066666666666666,30
h2o,4.0,512.0,32.0,548.0,2,0.31666666666666665,0.02357022603955158,0.03333333333333333,0.0,0.9666666666666667,248.19921612928448,21.333333333333336,30
h2o,4.0,512.0,64.0,580.0,2,0.3,0.0,0.016666666666666666,0.023570226039551584,0.9833333333333334,242.00393652805263,22.25,30
h2o,4.0,512.0,128.0,644.0,2,0.3333333333333333,0.0,0.03333333333333333,0.04714045207910317,0.9666666666666667,248.74377702994872,21.316666666666666,30
h2o,4.0,512.0,256.0,772.0,2,0.3333333333333333,0.0,0.016666666666666666,0.023570226039551584,0.9833333333333334,271.54653984916513,22.416666666666668,30
h2o,4.0,1024.0,64.0,1092.0,1,0.3333333333333333,0.0,0.03333333333333333,0.0,0.9666666666666667,214.22116322079674,18.233333333333334,30
