method,sink,window,heavy,total_budget,runs,success_rate_mean,success_rate_std,timeout_rate_mean,timeout_rate_std,user_stop_rate_mean,avg_duration_s_mean,avg_turns_mean,num_tasks
h2o,4.0,32.0,32.0,68.0,1,0.6,0.0,0.4,0.0,0.6,593.068708256504,41.8,10
h2o,4.0,64.0,32.0,100.0,1,0.7,0.0,0.3,0.0,0.7,515.3202868461376,45.5,10
h2o,4.0,64.0,64.0,132.0,1,0.9,0.0,0.1,0.0,0.9,444.0377931115916,37.8,10
h2o,4.0,128.0,32.0,164.0,1,0.7,0.0,0.2,0.0,0.8,394.6740166752017,31.2,10
h2o,4.0,64.0,128.0,196.0,1,0.8,0.0,0.1,0.0,0.9,297.2366336089093,29.1,10
h2o,4.0,128.0,128.0,260.0,1,0.9,0.0,0.0,0.0,1.0,286.0061113933043,25.2,10
h2o,4.0,256.0,32.0,292.0,1,1.0,0.0,0.0,0.0,1.0,267.5783754903008,23.2,10
h2o,4.0,256.0,64.0,324.0,1,1.0,0.0,0.0,0.0,1.0,278.7791360571049,23.8,10
h2o,4.0,256.0,128.0,388.0,1,1.0,0.0,0.0,0.0,1.0,238.7305193302862,20.4,10
h2o,4.0,256.0,256.0,516.0,1,1.0,0.0,0.0,0.0,1.0,204.36748739408796,20.2,10
h2o,4.0,512.0,32.0,548.0,2,0.95,0.07071067811865478,0.0,0.0,1.0,213.8732212397939,20.0,10
h2o,4.0,512.0,64.0,580.0,2,0.9,0.0,0.0,0.0,1.0,189.91550400855488,18.9,10
h2o,4.0,512.0,128.0,644.0,2,1.0,0.0,0.0,0.0,1.0,180.5350690583,18.299999999999997,10
h2o,4.0,512.0,256.0,772.0,2,1.0,0.0,0.0,0.0,1.0,206.79518656845028,17.4,10
h2o,4.0,1024.0,64.0,1092.0,1,1.0,0.0,0.0,0.0,1.0,202.8291214743047,16.8,10
