method,sink,window,heavy,repeat,total_budget,source_file,num_tasks,success_rate,timeout_rate,user_stop_rate,avg_duration_s,avg_turns
baseline,,,,run1,,stress_baseline_1x30.json,10,1.0,0.0,1.0,192.3385191561014,16.8
baseline,,,,1st,,stress_baseline_1x30_1st.json,10,1.0,0.0,1.0,155.56481470930157,15.0
baseline,,,,2nd,,stress_baseline_1x30_2nd.json,10,1.0,0.0,1.0,169.37707504761056,16.0
baseline,,,,3rd,,stress_baseline_1x30_3rd.json,10,1.0,0.0,1.0,162.83390793910948,15.2
h2o,4.0,32.0,32.0,run1,68.0,stress_h2o_1x30_4_32_32.json,10,0.6,0.4,0.6,593.068708256504,41.8
h2o,4.0,32.0,64.0,run1,100.0,stress_h2o_1x30_4_32_64.json,10,0.6,0.4,0.6,501.8292344787857,46.3
h2o,4.0,64.0,32.0,run1,100.0,stress_h2o_1x30_4_64_32.json,10,0.7,0.3,0.7,515.3202868461376,45.5
h2o,4.0,64.0,64.0,run1,132.0,stress_h2o_1x30_4_64_64.json,10,0.9,0.1,0.9,444.0377931115916,37.8
h2o,4.0,32.0,128.0,run1,164.0,stress_h2o_1x30_4_32_128.json,10,0.6,0.3,0.7,399.29615720810835,46.0
h2o,4.0,128.0,32.0,run1,164.0,stress_h2o_1x30_4_128_32.json,10,0.7,0.2,0.8,394.6740166752017,31.2
h2o,4.0,64.0,128.0,run1,196.0,stress_h2o_1x30_4_64_128.json,10,0.8,0.1,0.9,297.2366336089093,29.1
h2o,4.0,128.0,64.0,run1,196.0,stress_h2o_1x30_4_128_64.json,10,0.8,0.1,0.9,297.9081320373167,26.0
h2o,4.0,128.0,128.0,run1,260.0,stress_h2o_1x30_4_128_128.json,10,0.9,0.0,1.0,286.0061113933043,25.2
h2o,4.0,32.0,256.0,run1,292.0,stress_h2o_1x30_4_32_256.json,10,0.7,0.2,0.8,360.09108273831663,35.8
h2o,4.0,256.0,32.0,run1,292.0,stress_h2o_1x30_4_256_32.json,10,1.0,0.0,1.0,267.5783754903008,23.2
h2o,4.0,64.0,256.0,run1,324.0,stress_h2o_1x30_4_64_256.json,10,0.9,0.1,0.9,273.56729875180173,24.1
h2o,4.0,256.0,64.0,run1,324.0,stress_h2o_1x30_4_256_64.json,10,1.0,0.0,1.0,278.7791360571049,23.8
h2o,4.0,128.0,256.0,run1,388.0,stress_h2o_1x30_4_128_256.json,10,0.9,0.0,1.0,266.6368289381091,22.8
h2o,4.0,256.0,128.0,run1,388.0,stress_h2o_1x30_4_256_128.json,10,1.0,0.0,1.0,238.7305193302862,20.4
h2o,4.0,256.0,256.0,run1,516.0,stress_h2o_1x30_4_256_256.json,10,1.0,0.0,1.0,204.36748739408796,20.2
h2o,4.0,512.0,32.0,1st,548.0,stress_h2o_1x30_4_512_32_1st.json,10,0.9,0.0,1.0,185.02264138840255,18.4
h2o,4.0,512.0,32.0,2nd,548.0,stress_h2o_1x30_4_512_32_2nd.json,10,1.0,0.0,1.0,242.7238010911853,21.6
h2o,4.0,512.0,64.0,1st,580.0,stress_h2o_1x30_4_512_64_1st.json,10,0.9,0.0,1.0,219.83729030350224,21.4
h2o,4.0,512.0,64.0,2nd,580.0,stress_h2o_1x30_4_512_64_2nd.json,10,0.9,0.0,1.0,159.99371771360748,16.4
h2o,4.0,512.0,128.0,1st,644.0,stress_h2o_1x30_4_512_128_1st.json,10,1.0,0.0,1.0,190.51898029359873,19.4
h2o,4.0,512.0,128.0,2nd,644.0,stress_h2o_1x30_4_512_128_2nd.json,10,1.0,0.0,1.0,170.55115782300126,17.2
h2o,4.0,512.0,256.0,1st,772.0,stress_h2o_1x30_4_512_256_1st.json,10,1.0,0.0,1.0,241.73509274969692,19.0
h2o,4.0,512.0,256.0,2nd,772.0,stress_h2o_1x30_4_512_256_2nd.json,10,1.0,0.0,1.0,171.85528038720366,15.8
h2o,4.0,1024.0,64.0,1st,1092.0,stress_h2o_1x30_4_1024_64_1st.json,10,1.0,0.0,1.0,202.8291214743047,16.8
streamingllm,4.0,32.0,0.0,run1,36.0,stress_streamingllm_1x30_4_32.json,10,0.4,0.6,0.4,663.0386992571991,32.0
streamingllm,4.0,64.0,0.0,run1,68.0,stress_streamingllm_1x30_4_64.json,10,0.4,0.6,0.4,615.864520590601,25.8
streamingllm,4.0,128.0,0.0,run1,132.0,stress_streamingllm_1x30_4_128.json,10,0.6,0.4,0.6,485.67485983038785,22.6
streamingllm,4.0,256.0,0.0,run1,260.0,stress_streamingllm_1x30_4_256.json,10,0.9,0.1,0.9,354.7002117965079,18.7
streamingllm,4.0,512.0,0.0,1st,516.0,stress_streamingllm_1x30_4_512_1st.json,10,0.9,0.0,1.0,314.85416657359457,15.0
streamingllm,4.0,512.0,0.0,2nd,516.0,stress_streamingllm_1x30_4_512_2nd.json,10,0.9,0.0,1.0,195.93370134078432,12.2
streamingllm,4.0,1024.0,0.0,run1,1028.0,stress_streamingllm_1x30_4_1024.json,10,1.0,0.0,1.0,237.3411678038945,13.4
