method,sink,window,heavy,repeat,total_budget,source_file,task_id,reward,termination_reason,duration_s,turns
baseline,,,,run1,,stress_baseline_1x30.json,0,1.0,user_stop,193.79248895298224,14
baseline,,,,1st,,stress_baseline_1x30_1st.json,0,1.0,user_stop,202.9335876099649,14
baseline,,,,2nd,,stress_baseline_1x30_2nd.json,0,1.0,user_stop,135.54067740001483,12
baseline,,,,3rd,,stress_baseline_1x30_3rd.json,0,1.0,user_stop,195.53842646704288,14
h2o,4.0,32.0,32.0,run1,68.0,stress_h2o_1x30_4_32_32.json,0,0.0,task_timeout,825.0316157439956,65
h2o,4.0,32.0,64.0,run1,100.0,stress_h2o_1x30_4_32_64.json,0,0.0,task_timeout,800.6241540900664,50
h2o,4.0,64.0,32.0,run1,100.0,stress_h2o_1x30_4_64_32.json,0,1.0,user_stop,221.23113677301444,20
h2o,4.0,64.0,64.0,run1,132.0,stress_h2o_1x30_4_64_64.json,0,1.0,user_stop,584.4120481959544,42
h2o,4.0,32.0,128.0,run1,164.0,stress_h2o_1x30_4_32_128.json,0,1.0,user_stop,291.8133369330317,24
h2o,4.0,128.0,32.0,run1,164.0,stress_h2o_1x30_4_128_32.json,0,1.0,user_stop,162.3385017790133,14
h2o,4.0,64.0,128.0,run1,196.0,stress_h2o_1x30_4_64_128.json,0,1.0,user_stop,240.2977795730112,22
h2o,4.0,128.0,64.0,run1,196.0,stress_h2o_1x30_4_128_64.json,0,1.0,user_stop,206.28666719200555,22
h2o,4.0,128.0,128.0,run1,260.0,stress_h2o_1x30_4_128_128.json,0,1.0,user_stop,479.998040002014,36
h2o,4.0,32.0,256.0,run1,292.0,stress_h2o_1x30_4_32_256.json,0,1.0,user_stop,432.45806334598456,38
h2o,4.0,256.0,32.0,run1,292.0,stress_h2o_1x30_4_256_32.json,0,1.0,user_stop,180.5659651850001,18
h2o,4.0,64.0,256.0,run1,324.0,stress_h2o_1x30_4_64_256.json,0,1.0,user_stop,308.66438584099524,26
h2o,4.0,256.0,64.0,run1,324.0,stress_h2o_1x30_4_256_64.json,0,1.0,user_stop,230.50468614901183,18
h2o,4.0,128.0,256.0,run1,388.0,stress_h2o_1x30_4_128_256.json,0,1.0,user_stop,238.7568743749871,18
h2o,4.0,256.0,128.0,run1,388.0,stress_h2o_1x30_4_256_128.json,0,1.0,user_stop,239.74491361097898,20
h2o,4.0,256.0,256.0,run1,516.0,stress_h2o_1x30_4_256_256.json,0,1.0,user_stop,107.71936869097408,14
h2o,4.0,512.0,32.0,1st,548.0,stress_h2o_1x30_4_512_32_1st.json,0,1.0,user_stop,190.63266317400848,16
h2o,4.0,512.0,32.0,2nd,548.0,stress_h2o_1x30_4_512_32_2nd.json,0,1.0,user_stop,300.7447165910271,28
h2o,4.0,512.0,64.0,1st,580.0,stress_h2o_1x30_4_512_64_1st.json,0,1.0,user_stop,112.66411339200567,12
h2o,4.0,512.0,64.0,2nd,580.0,stress_h2o_1x30_4_512_64_2nd.json,0,1.0,user_stop,114.53811862302246,12
h2o,4.0,512.0,128.0,1st,644.0,stress_h2o_1x30_4_512_128_1st.json,0,1.0,user_stop,204.1759322709986,16
h2o,4.0,512.0,128.0,2nd,644.0,stress_h2o_1x30_4_512_128_2nd.json,0,1.0,user_stop,198.42061157297576,16
h2o,4.0,512.0,256.0,1st,772.0,stress_h2o_1x30_4_512_256_1st.json,0,1.0,user_stop,205.779469842033,14
