task_id,method,runs,reward_mean,timeout_rate,avg_duration_s,avg_turns
0,baseline,4,1.0,0.0,181.9512951075012,13.5
0,h2o,25,0.92,0.08,288.2615868576476,23.48
0,streamingllm,7,0.7142857142857143,0.2857142857142857,408.18899951456945,18.857142857142858
1,baseline,4,1.0,0.0,201.2375731192442,17.5
1,h2o,25,0.92,0.08,293.1882531409664,27.36
1,streamingllm,7,0.8571428571428571,0.14285714285714285,322.60463483427884,15.0
3,baseline,4,1.0,0.0,76.12872498125944,12.0
3,h2o,25,0.52,0.08,243.56490053975955,26.6
3,streamingllm,7,0.5714285714285714,0.14285714285714285,340.7726468444203,17.571428571428573
4,baseline,4,1.0,0.0,128.86861455124745,13.0
4,h2o,25,1.0,0.0,226.93098238267936,20.32
4,streamingllm,7,0.8571428571428571,0.14285714285714285,369.4077782852941,16.714285714285715
5,baseline,4,1.0,0.0,277.82875219051493,21.5
5,h2o,25,0.72,0.28,440.054842381014,36.96
5,streamingllm,7,0.7142857142857143,0.2857142857142857,460.80842316169793,21.428571428571427
6,baseline,4,1.0,0.0,88.83692410303047,12.5
6,h2o,25,0.96,0.04,249.46840640036854,22.72
6,streamingllm,7,0.5714285714285714,0.42857142857142855,552.0889612458496,24.714285714285715
10,baseline,4,1.0,0.0,301.19932631301344,25.5
10,h2o,25,0.92,0.08,348.5672557756747,28.36
10,streamingllm,7,0.7142857142857143,0.2857142857142857,469.5998044639959,21.142857142857142
13,baseline,4,1.0,0.0,126.1262361977424,13.5
13,h2o,25,0.92,0.08,276.7814478875906,22.88
13,streamingllm,7,0.8571428571428571,0.14285714285714285,343.76962231800593,16.142857142857142
26,baseline,4,1.0,0.0,144.3067622269882,14.0
26,h2o,25,0.96,0.04,276.1029781385581,24.6
26,streamingllm,7,1.0,0.0,243.51567055571027,12.571428571428571
28,baseline,4,1.0,0.0,173.80158333976578,14.5
28,h2o,25,0.88,0.12,318.75730071188883,32.8
28,streamingllm,7,0.42857142857142855,0.5714285714285714,585.5396404804196,35.42857142857143
