cohort,method,sink,window,heavy,total_budget,runs,success_rate_mean,success_rate_std,timeout_rate_mean,timeout_rate_std,avg_duration_s_mean,avg_turns_mean
new10,baseline,,,,,4,0.925,0.04999999999999998,0.05,0.05773502691896258,203.78280935542426,21.95
new10,h2o,4.0,32.0,32.0,68.0,1,0.5,0.0,0.5,0.0,556.0973120593932,46.5
new10,h2o,4.0,32.0,64.0,100.0,1,0.6,0.0,0.4,0.0,549.6290236743982,53.8
new10,h2o,4.0,64.0,32.0,100.0,1,1.0,0.0,0.0,0.0,268.24885750121905,28.2
new10,h2o,4.0,64.0,64.0,132.0,1,0.7,0.0,0.3,0.0,388.9099453657167,35.7
new10,h2o,4.0,96.0,32.0,132.0,1,0.9,0.0,0.0,0.0,280.94864157818955,24.6
new10,h2o,4.0,32.0,128.0,164.0,1,0.6,0.0,0.4,0.0,434.381877694116,55.4
new10,h2o,4.0,96.0,64.0,164.0,1,0.6,0.0,0.3,0.0,410.35847455270124,43.7
new10,h2o,4.0,128.0,32.0,164.0,1,0.8,0.0,0.1,0.0,271.94704641478603,26.8
new10,h2o,4.0,64.0,128.0,196.0,1,0.8,0.0,0.2,0.0,386.25062238118846,36.8
new10,h2o,4.0,128.0,64.0,196.0,1,1.0,0.0,0.0,0.0,200.9610279613873,21.4
new10,h2o,4.0,96.0,128.0,228.0,1,0.8,0.0,0.1,0.0,314.86874610441737,30.1
new10,h2o,4.0,192.0,32.0,228.0,1,0.9,0.0,0.1,0.0,217.20765455076472,28.5
new10,h2o,4.0,128.0,128.0,260.0,1,0.9,0.0,0.0,0.0,262.0181442908826,27.2
new10,h2o,4.0,32.0,256.0,292.0,1,1.0,0.0,0.0,0.0,261.79581594488116,27.0
new10,h2o,4.0,64.0,256.0,324.0,1,1.0,0.0,0.0,0.0,245.60895680751418,22.0
new10,h2o,4.0,192.0,128.0,324.0,1,0.9,0.0,0.0,0.0,168.46058327619684,18.2
new10,h2o,4.0,96.0,256.0,356.0,1,0.9,0.0,0.0,0.0,232.7323301278171,22.4
new10,h2o,4.0,128.0,256.0,388.0,1,1.0,0.0,0.0,0.0,209.18197869029828,22.6
new10,h2o,4.0,192.0,256.0,452.0,1,0.9,0.0,0.0,0.0,273.5901309871115,24.6
new10,streamingllm,4.0,32.0,0.0,36.0,1,0.5,0.0,0.5,0.0,690.1367986541824,32.5
new10,streamingllm,4.0,96.0,0.0,100.0,1,0.7,0.0,0.3,0.0,471.85134748193667,23.9
new10,streamingllm,4.0,128.0,0.0,132.0,1,0.8,0.0,0.2,0.0,481.91979849148777,25.3
