method,num_trials,expected_tasks,sink,window,heavy,total_budget,repeat,tag,cohort,source_file,actual_tasks,is_complete,success_rate,timeout_rate,avg_duration_s,avg_turns
baseline,1,10,,,,,1st,task10,new10,stress_baseline_1x10_task10_1st.json,10,True,0.9,0.1,235.96122547917767,27.3
baseline,1,10,,,,,2nd,task10,new10,stress_baseline_1x10_task10_2nd.json,10,True,0.9,0.1,203.19441025431735,26.1
baseline,1,10,,,,,3rd,task10,new10,stress_baseline_1x10_task10_3rd.json,10,True,0.9,0.0,227.37329185039272,19.8
baseline,1,10,,,,,4th,task10,new10,stress_baseline_1x10_task10_4th.json,10,True,1.0,0.0,148.6023098378093,14.6
h2o,1,10,4.0,128.0,128.0,260.0,run1,task10,new10,stress_h2o_1x10_4_128_128_task10.json,10,True,0.9,0.0,262.0181442908826,27.2
h2o,1,10,4.0,128.0,256.0,388.0,run1,task10,new10,stress_h2o_1x10_4_128_256_task10.json,10,True,1.0,0.0,209.18197869029828,22.6
h2o,1,10,4.0,128.0,32.0,164.0,run1,task10,new10,stress_h2o_1x10_4_128_32_task10.json,10,True,0.8,0.1,271.94704641478603,26.8
h2o,1,10,4.0,128.0,64.0,196.0,run1,task10,new10,stress_h2o_1x10_4_128_64_task10.json,10,True,1.0,0.0,200.9610279613873,21.4
h2o,1,10,4.0,192.0,128.0,324.0,run1,task10,new10,stress_h2o_1x10_4_192_128_task10.json,10,True,0.9,0.0,168.46058327619684,18.2
h2o,1,10,4.0,192.0,256.0,452.0,run1,task10,new10,stress_h2o_1x10_4_192_256_task10.json,10,True,0.9,0.0,273.5901309871115,24.6
h2o,1,10,4.0,192.0,32.0,228.0,run1,task10,new10,stress_h2o_1x10_4_192_32_task10.json,10,True,0.9,0.1,217.20765455076472,28.5
h2o,1,10,4.0,32.0,128.0,164.0,run1,task10,new10,stress_h2o_1x10_4_32_128_task10.json,10,True,0.6,0.4,434.381877694116,55.4
h2o,1,10,4.0,32.0,256.0,292.0,run1,task10,new10,stress_h2o_1x10_4_32_256_task10.json,10,True,1.0,0.0,261.79581594488116,27.0
h2o,1,10,4.0,32.0,32.0,68.0,run1,task10,new10,stress_h2o_1x10_4_32_32_task10.json,10,True,0.5,0.5,556.0973120593932,46.5
h2o,1,10,4.0,32.0,64.0,100.0,run1,task10,new10,stress_h2o_1x10_4_32_64_task10.json,10,True,0.6,0.4,549.6290236743982,53.8
h2o,1,10,4.0,64.0,128.0,196.0,run1,task10,new10,stress_h2o_1x10_4_64_128_task10.json,10,True,0.8,0.2,386.25062238118846,36.8
h2o,1,10,4.0,64.0,256.0,324.0,run1,task10,new10,stress_h2o_1x10_4_64_256_task10.json,10,True,1.0,0.0,245.60895680751418,22.0
h2o,1,10,4.0,64.0,32.0,100.0,run1,task10,new10,stress_h2o_1x10_4_64_32_task10.json,10,True,1.0,0.0,268.24885750121905,28.2
h2o,1,10,4.0,64.0,64.0,132.0,run1,task10,new10,stress_h2o_1x10_4_64_64_task10.json,10,True,0.7,0.3,388.9099453657167,35.7
h2o,1,10,4.0,96.0,128.0,228.0,run1,task10,new10,stress_h2o_1x10_4_96_128_task10.json,10,True,0.8,0.1,314.86874610441737,30.1
h2o,1,10,4.0,96.0,256.0,356.0,run1,task10,new10,stress_h2o_1x10_4_96_256_task10.json,10,True,0.9,0.0,232.7323301278171,22.4
h2o,1,10,4.0,96.0,32.0,132.0,run1,task10,new10,stress_h2o_1x10_4_96_32_task10.json,10,True,0.9,0.0,280.94864157818955,24.6
h2o,1,10,4.0,96.0,64.0,164.0,run1,task10,new10,stress_h2o_1x10_4_96_64_task10.json,10,True,0.6,0.3,410.35847455270124,43.7
streamingllm,1,10,4.0,128.0,0.0,132.0,run1,task10,new10,stress_streamingllm_1x10_4_128_task10.json,10,True,0.8,0.2,481.91979849148777,25.3
streamingllm,1,10,4.0,32.0,0.0,36.0,run1,task10,new10,stress_streamingllm_1x10_4_32_task10.json,10,True,0.5,0.5,690.1367986541824,32.5
streamingllm,1,10,4.0,96.0,0.0,100.0,run1,task10,new10,stress_streamingllm_1x10_4_96_task10.json,10,True,0.7,0.3,471.85134748193667,23.9
