task_id,method,runs,reward_mean,timeout_rate
0,baseline,4,1.0,0.0
0,h2o,19,0.8421052631578947,0.15789473684210525
0,streamingllm,3,1.0,0.0
1,baseline,4,1.0,0.0
1,h2o,19,0.9473684210526315,0.05263157894736842
1,streamingllm,3,1.0,0.0
3,baseline,4,0.75,0.0
3,h2o,19,0.42105263157894735,0.15789473684210525
3,streamingllm,3,1.0,0.0
4,baseline,4,1.0,0.0
4,h2o,19,0.8421052631578947,0.15789473684210525
4,streamingllm,3,0.3333333333333333,0.6666666666666666
5,baseline,4,0.5,0.5
5,h2o,19,0.7894736842105263,0.21052631578947367
5,streamingllm,3,0.3333333333333333,0.6666666666666666
6,baseline,4,1.0,0.0
6,h2o,19,0.9473684210526315,0.05263157894736842
6,streamingllm,3,0.3333333333333333,0.6666666666666666
10,baseline,4,1.0,0.0
10,h2o,19,0.8947368421052632,0.10526315789473684
10,streamingllm,3,0.6666666666666666,0.3333333333333333
13,baseline,4,1.0,0.0
13,h2o,19,1.0,0.0
13,streamingllm,3,1.0,0.0
26,baseline,4,1.0,0.0
26,h2o,19,0.8421052631578947,0.15789473684210525
26,streamingllm,3,1.0,0.0
28,baseline,4,1.0,0.0
28,h2o,19,0.7894736842105263,0.21052631578947367
28,streamingllm,3,0.0,1.0
